평점,리뷰
5,리뷰 없음
1,리뷰 없음
2,"5일 업데이트 전까지는 별 5개 드릴 수 있을만큼 잘 쓰고있었는데 갑자기 웬 연돈 메뉴 선택 기능을 예약 중간에 하도록 만드신건지 모르겠네요;; 가뜩이나 1초도 아닌 미리초단위로 성공 여부가 갈리고, 인원 많을수록 예약하기 힘든데 4인의 경우 메뉴 선택하는데 누르는 시간 때문에 더 힘들어지겠네요. 그리고 이미 이전에도 기본메뉴 세팅이 되어있었고, 변경을 희망하는 사람만 별도입력해서 하면 됐었는데, 왜 이렇게 예약하기 번거롭게 바꾸신건지 이해가 안됩니다. 그냥 이전처럼 메뉴 선택 기능 없애주시거나 차라리 공정하게 메뉴칸도 인원수별로 반반 해서, 별도로 수정하거나 누르지 않고도 바로 예약할 수 있도록 미리 세팅값을 설정해주셨으면 좋겠어요. 운영자님 이 글 보시면 부디 꼭 좀 의견 반영 부탁드립니다."
5,이거 너무 좋은 데 외국분들도 사용가능하게 만들어 주시면 이회사가 더크게 발전하지 않을까요?? 요즘 사람많고 큰음식점을 많이 다녔는 데 다 테이블링이 있더군요 근데 (영어권.중국어.일본어)하시는 분은 테이블링 몰라서 그냥 서계시는 데 카톡이 있어야 테이블링이 되는 거라 설명해줘도 못하는 분들이 계시더군요 다이소 셀프 계산대도 영미일 버튼 터치 수 혼자서 잘하시던데 외국분들도 테이블링할수 있게 (영.중.일)버전도 만들어 보는 건 어떨까 합니다
1,앱 업데이트 하고 최악의 앱이 되었네요^^;; 원격 줄서기 하려면 테이블링페이가 필수고 테이블링페이 하려면 아시다시피 계좌정보 등록해야하는데 과연 테이블링 앱에 이정도의 정보를 제공해야 할 가치가 있는지...? 저는 그냥 아침 일찍 일어나서 그냥 물리적으로 이동해서 줄서기 하고 말렵니다 차라리ㅎㅎ 정말 수익성 모델을 이렇게 짜는게 최선이셨나요...ㅎ 심지어 업데이트 후 리얼타임으로 줄서기 현황 보는 화면도 UI가 정말 혁명적으로 구려져서 놀라울 정도입니다ㅎ
2,"5일 업데이트 전까지는 별 5개 드릴 수 있을만큼 잘 쓰고있었는데 갑자기 웬 연돈 메뉴 선택 기능을 예약 중간에 하도록 만드신건지 모르겠네요;; 가뜩이나 1초도 아닌 미리초단위로 성공 여부가 갈리고, 인원 많을수록 예약하기 힘든데 4인의 경우 메뉴 선택하는데 누르는 시간 때문에 더 힘들어지겠네요. 그리고 이미 이전에도 기본메뉴 세팅이 되어있었고, 변경을 희망하는 사람만 별도입력해서 하면 됐었는데, 왜 이렇게 예약하기 번거롭게 바꾸신건지 이해가 안됩니다. 그냥 이전처럼 메뉴 선택 기능 없애주시거나 차라리 공정하게 메뉴칸도 인원수별로 반반 해서, 별도로 수정하거나 누르지 않고도 바로 예약할 수 있도록 미리 세팅값을 설정해주셨으면 좋겠어요. 운영자님 이 글 보시면 부디 꼭 좀 의견 반영 부탁드립니다."
4,키오스크 코드번호 입력하는 페이지 개선점 의견드립니다. 대기순번 새로고침 시에도 코드 입력 키보드가 올라옵니다. 페이지 첫 진입 시점에 편의를 위해 키보드가 자동적으로 올라오는 것은 좋으나 새로고침 버튼 시에는 안올라오는게 더 편할 것 같아요 api 콜 후 분기 없이 키보드 노출 시키는 부분에서 분기가 필요해 보입니다.
1,정말 별로입니다. 수많은 앱을 썼지만 이용 시작부터 대뜸 자체 페이를 계좌까지 등록하라고 들이미는 앱은 처음 봅니다. 덕분에 여행 끝나자마자 찝찝해서 계좌연동 바로 취소하고 앱삭제 했습니다. 자체페이가 범용성이 있는것도 아니고 자주 쓸 앱도 아닌데 왜 이렇게 만들었는지 모르겠습니다.
1,페이 연동 부분에서도 혹평밖에 안 보이지만... 그냥 '휴대폰 본인인증' 단계에서부터 화면이 안 넘어가네요ㅋㅋㅋㅋㅋㅋ 그런와중에 오른쪽 상단 '취소' 버튼은 멀쩡히 작동하는게 제일 열받습니다. 본인들의 앱을 하루빨리 핸드폰에서 삭제해달라는 말을 이렇게 돌려서 하는군요
1,"뭔 테이블링페이를 이용해야만 원격줄서기가 가능한건지, 이 노쇼를 위해 페이시스템을 운영하는거라면 이해하겠는데, 이건 뭐... 페이를 이용해야지만 토큰개념의 '폭탄'이 적립되고 폭탄을 사용해서 줄을선다.. 폭탄은 3개가 필요하고 페이 사용액에따라 지급폭탄이 다르다... 수익을통해 회사가 운영이 되야하기이 다양한 수익모델 패치 및 서비스 제공은 좋습니다만, 굳이 저는 이젠 사용할 의무가 크게 없어진 것 같네요. 쓰실분들은 잘 쓰셨으면 좋겠습니다. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돈좋은건 알겠는데 시스템이 그닥인거같아요."
1,테이블링페이? ㅋㅋㅋ 기가찬다. 노쇼 방지를 위한 선약금 거는건 가게를 위한 일이니 그럴 수 있다 쳐도 무슨 당근페이 흉내내는 마냥 지들 앱내 자체적인 페이 시스템을 쑤셔 넣은 부분과 뭐를 3개 이상 모아야만 예약이 가능하게 변경된건 쉽고 간단한 예약 이용이라는 본 앱 이용 목적을 잃는 최악의 악수라고 봄. 이제 이 앱도 안 쓰고 이 앱 써야하던 가게도 그냥 안 가게 될 듯. 이번 업데이트한 놈 대단하다! 박수를 보내고 싶다! ㅋㅋㅋㅋㅋ
1,연돈 전용 어플인데.. 막상 예약할 시간되면 서버 터져서 예약이안됨 ㅋㅋ 예약 버튼 눌렀을때 서버에 접속 대기 순서 걸면 형평성이라도 맞을텐데 그게 그렇게 어렵나.. 똑같은 문제로 비슷한 리뷰가 이렇게 많은데도 개선이 안된거보면 고칠 생각이 없는것같은데.. 경쟁어플이 없어서 그런듯
3,편해서 좋습니다. 그런데 매장이용과 테이크아웃 이용 줄 빠지는 속도가 다른경우 추가로 표기가 되면 좋겠습니다. 예로 총 대기 200명(takeout: 5명) 이런식으로요. 묶여서 표시가 되니 대기는 백번째인데 오분뒤에 입장순서라고 연락오고그래요
